tweet_id,file_name,label,statement,clean_text,only_text,tokenized_tweet,new_lemmatized_tweet,subject,speaker,contexts,justification,job,affiliations,credits_0,credits_1,credits_2,credits_3,credits_4,posemo,negemo,combined,neutral,is_fake
266,8489.json,false,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",terry mcauliffe wants to raise your taxes $1700 to pay for his infinite promises,terry mcauliffe wants raise taxes $1700 pay infinite promises,<generator object tweet_to_words at 0x00000041696367B0>,terry mcauliffe want raise taxis pay infinite promise,"education,state-budget,taxes",ken-cuccinelli,a debate.,"Cuccinelli says McAuliffe wants to raise taxes by $1,700 annually for an average four-person family to pay for his ""promises. ""He assumes, for example, that McAuliffes statement that college graduates ""deserve the opportunity"" to start their careers without the burden of student debts is a promise that the state will pay off their loans, starting his first year in office. He assumes McAuliffes statement that ""its time"" to restore per-pupil funding in public schools to pre-recession levels is a vow to do that instantly. Then, Cuccinelli takes his assumptions and multiplies them by a stew of worst-case scenarios to come up with his unreliable tax estimate. We dont fault Cuccinelli for demanding specifics on McAuliffes agenda; the Democrat has addressed issues with a broad brush throughout the campaign. Its fair to ask how McAuliffe would accomplish his objectives and keep his word not to raise taxes. But that doesnt give Cuccinelli the license to create a platform for his rival.",Attorney General,republican,1.0,10.0,3.0,2.0,1.0,1,0,1,8,1
287,6627.json,mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,seven presidents before (barack obama) -- republicans and democrats -- tried to expand health care to all americans,seven presidents (barack obama) -- republicans democrats -- tried expand health care americans,<generator object tweet_to_words at 0x0000004169628120>,president obama republican try expand health care american,"health-care,history",julian-castro,"a keynote speech to the Democratic National Convention in Charlotte, N.C.","Castro said that ""seven presidents before (Obama) -- Republicans and Democrats -- tried to expand health care to all Americans. ""Its a slam dunk getting to three or four presidents, and its possible to reach seven presidents, but to do that requires a looser interpretation of expanding coverage ""to all Americans.","Mayor, San Antonio",democrat,0.0,0.0,3.0,3.0,0.0,0,0,0,13,0
358,10663.json,half-true,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",from 2013-2015 the richest 14 americans increased their net wealth by more than $157 billion yet the republican budget would not require these americans to contribute one penny to deficit reduction,2013-2015 richest 14 americans increased net wealth $157 billion yet republican budget would require americans contribute one penny deficit reduction,<generator object tweet_to_words at 0x00000041696200B0>,rich american increase net wealth yet republican budget require american contribute penny deficit reduction,"federal-budget,taxes,wealth",bernie-s,a Tweet,"Sanders said, ""From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction. ""The 14 richest Americans net wealth did go up by about $157 billion between 2013 and 2015. The proposed Republican budget does not ask anything specific of the ultra-wealthy. It does not raise taxes, but it says it intends to streamline the tax code. However, these are broad strokes -- not specific legislation. So we dont know how lawmakers would specifically handle these proposals, and we dont know how they would impact the ultra-wealthy.",U.S. Senator,independent,18.0,12.0,22.0,41.0,0.0,0,0,0,20,0
360,3625.json,mostly-true,Says Texas routinely gets a lot more federal spending than it pays in taxes.,says texas routinely gets a lot more federal spending than it pays in taxes,says texas routinely gets lot federal spending pays taxes,<generator object tweet_to_words at 0x0000004169620190>,say texas routinely get lot federal spending pay taxis,"federal-budget,pundits,taxes",rachel-maddow,an episode of The Rachel Maddow Show.,"The figures from our sources show two different trends. On an annual basis between 1981 and 2003, Texas almost always paid more in federal taxes than it got back from Uncle Sam.",MSNBC host,none,6.0,6.0,4.0,6.0,1.0,0,0,0,9,0
380,10931.json,half-true,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",since republicans took over after the 2010 election the graduation rate in wisconsin has gone from 86 percent to 88 percent the black graduation rate has gone from 60 percent to 65 percent the latino graduation rate has gone from 65 percent to 71 percent,since republicans took 2010 election graduation rate wisconsin gone 86 percent 88 percent black graduation rate gone 60 percent 65 percent latino graduation rate gone 65 percent 71 percent,<generator object tweet_to_words at 0x0000004169620A50>,republican take election graduation rate wisconsin go percent percent black graduation rate go percent percent latino graduation rate go percent percent,education,dale-kooyenga,0,"Likewise, there was a small increase between those years, following the trend. Our rating Kooyenga said graduation rates in the state increased thanks to actions by Republicans, including the passage of Act 10. The numbers did rise, but the trend existed before the GOP took over. Whats more, experts say many other factors are at work and the passage of Act 10 wasnt followed by significant changes.",State Representative,republican,1.0,1.0,2.0,2.0,0.0,0,0,0,29,0
442,5629.json,false,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,new federal projections estimate that the health care overhaul will cost $176 trillion over 10 years -- well above the $940 billion democrats originally claimed,new federal projections estimate health care overhaul cost $176 trillion 10 years -- well $940 billion democrats originally claimed,<generator object tweet_to_words at 0x000000416CE825F0>,new federal projection estimate health care overhaul cost year well democrat originally claim,health-care,tom-price,a press release,"The 2012 report revised it downward to $768 billion. When you do the math correctly, the gross cost projection increased by less than 9 percent. The net cost estimate has actually dropped.",Congressman,republican,1.0,2.0,5.0,3.0,0.0,1,0,1,18,1
444,11363.json,pants-fire,The unemployment rate may be as high as 42 percent.,the unemployment rate may be as high as 42 percent,unemployment rate may high 42 percent,<generator object tweet_to_words at 0x000000416CE826D0>,unemployment rate high percent,"corrections-and-updates,economy,jobs",donald-trump,a press conference,"Trump keeps repeating that the unemployment rate may be as high as 42 percent. But getting a percentage that high requires believing that being a high school, college or graduate student, a senior citizen, a stay-at-home parent, a job-training participant, or having a disability is no excuse for not holding down a job, or for working less than 40 hours in a week. The highest alternative unemployment-rate measure we could come up with that had any credibility was 16. 4 percent, and even that exaggerated figure is only about one-third of the way to Trumps 42 percent. CORRECTION, Feb.  11, 2016:We've updated this story to reflect some changes to the statistics for students listed in the table. Our new calculation puts the highest ""unemployment"" rate we could produce at 16. 4 percent.",President-Elect,republican,63.0,114.0,51.0,37.0,61.0,0,0,0,6,1
491,6873.json,barely-true,This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.,this is what president obama said the jobless rate would be if we passed the stimulus 56 percent,president obama said jobless rate would passed stimulus 56 percent,<generator object tweet_to_words at 0x000000416CE89BA0>,president obama say jobless rate pass stimulus percent,"candidates-biography,economy,jobs,message-machine-2012,stimulus",american-crossroads,a TV ad,"Rather, he introduced ""projections"" that included a chart showing the jobless rate falling to 5. 6 percent under a recovery plan. The report highlighted the estimates ""significant margins of error"" and high uncertainty due to a recession that was ""unusual both in its fundamental causes and its severity. ""The economy was, in fact, much worse than economists knew. The chart is now infamous, but it was never pitched as a promise.",0,republican,5.0,5.0,4.0,0.0,0.0,0,1,1,9,1
531,13145.json,barely-true,Says Colorado Democraticcongressional candidate MorganCarroll racked up $11 billion in new spending in the state Legislature.,says colorado democraticcongressional candidate morgancarroll racked up $11 billion in new spending in the state legislature,says colorado democraticcongressional candidate morgancarroll racked $11 billion new spending state legislature,<generator object tweet_to_words at 0x000000416CE8DD60>,say colorado candidate morgancarroll rack new spend state legislature,state-budget,national-republican-congressional-committee,a TV ad ,"The NRCC said Morgan Carroll ""racked up $11 billion in new spending,"" implying that she had a key role in ""nearly doubling the state budget. ""Carroll did vote for a $25 billion budget in 2015, but the Democrat was joined by a vast majority of lawmakers in a Republican-controlled Senate. The budgets passage was hailed as a bipartisan accomplishment by both parties. Colorado lawmakers are restricted by law in how much they can increase the state budget. While the NRCC adfocuses on the total budget, lawmakers control is largely limited to the general fund, which in 2015 was 38. 4 percent of the overall budget.",0,republican,18.0,9.0,8.0,5.0,8.0,0,0,0,12,1
541,8510.json,pants-fire,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",what we said was you can keep (your plan) if it hasnt changed since the law passed,said keep (your plan) hasnt changed since law passed,<generator object tweet_to_words at 0x000000416CE8F200>,say keep plan have change law pass,health-care,barack-obama,a speech to Organizing for Action,"According to Obama, ""What we said was you can keep (your plan) if it hasnt changed since the law passed. ""But we found at least 37 times since Obamas inauguration where he or a top administration official made a variation of the pledge that if you like your plan, you can keep it, and we never found an instance in which he offered the caveat that it only applies to plans that hadnt changed after the laws passage. And seven of those 37 cases came after the release of the HHS regulations that defined the ""grandfathering"" process, when the impact would be clear. While Sebelius teleconference with reporters did provide that sort of caveat, in other instances, such as her blog post, she focused on the upside, not the downside. Her one mention of the extent to which grandfathered plans might be doomed strikes us as the equivalent of the fine print on a television commercial running in heavy rotation. Obama is ignoring the overwhelming majority of times he addressed the issue, where most people would have heard it.",President,democrat,70.0,71.0,160.0,163.0,9.0,0,0,0,9,1
572,2464.json,barely-true,State government spending will be increase 10.7 percent this year.,state government spending will be increase 107 percent this year,state government spending increase 107 percent year,<generator object tweet_to_words at 0x000000416CE8FF90>,state government spending increase percent year,"government-efficiency,job-accomplishments,state-budget",john-kasich,a debate,"And by comparing actual spending in 2010 to proposed spending in 2011, he gets a result that punishes the Strickland administration for doing what taxpayers want -- not spending $3. 3 billion that had been allotted for 2010. 7 percent.","Governor of Ohio as of Jan. 10, 2011",republican,9.0,8.0,10.0,18.0,3.0,0,0,0,7,1
604,4807.json,true,Says 51 percent of federal tax filers paid zero federal income tax.,says 51 percent of federal tax filers paid zero federal income tax,says 51 percent federal tax filers paid zero federal income tax,<generator object tweet_to_words at 0x000000416CE70DD0>,say percent federal tax filer pay federal income tax,taxes,rob-cornilles,a statement on his website,"Just as Cornyn did from the Senate floor last summer, Cornilles was clear and precise that his reference to 51 percent not paying taxes relates to 2009.",consultant,republican,1.0,1.0,3.0,1.0,1.0,0,0,0,11,0
607,6979.json,barely-true,"Says U.S. Senate rival Tammy Baldwin supports a tax increase that President Obama says would cost middle-class families $3,000 per year.",says us senate rival tammy baldwin supports a tax increase that president obama says would cost middle-class families $3000 per year,says us senate rival tammy baldwin supports tax increase president obama says would cost middle-class families $3000 per year,<generator object tweet_to_words at 0x000000416CE70F20>,say rival tammy baldwin suppos tax increase president obama say cost middleclass family year,"congress,families,message-machine-2012,taxes",tommy-thompson,a TV ad,"Our rating    Thompson said Baldwin supports a ""tax increase that President Obama says"" would cost families $3,000 per year. Baldwin did vote no on a law that prevented middle class taxes from increasing by $3,000. But she supported extending tax cuts for the middle class and she voted for a another measure, which failed, that also would have prevented the $3,000 middle-class tax hike.",0,republican,6.0,8.0,2.0,5.0,3.0,1,1,2,17,1
619,7788.json,half-true,The Affordable Care Act is bringing the cost of health care in our country down.,the affordable care act is bringing the cost of health care in our country down,affordable care act bringing cost health care country,<generator object tweet_to_words at 0x000000416CE784A0>,affordable care act bring cost health care country,health-care,nancy-pelosi,an interview on MSNBC,"Pelosi said ""the Affordable Care Act is bringing the cost of health care in our country down. ""But its the rate of growth thats dropped, not the actual cost of care  which is still rising. Meanwhile, recent studies agree that something more than just the recent recession has driven that lower growth rate. Some experts argue that includes provisions of the health care law, such as lower Medicare Advantage payments and incentives for greater efficiency from hospitals. Others say it's simply too soon to say. Spending may increase as more people become insured, but for now, there's divided support for Pelosi's statement.",House Minority Leader,democrat,3.0,7.0,11.0,2.0,3.0,1,0,1,7,0
655,5903.json,half-true,Says Lee Leffingwell raised property taxes 20 percent in three years.,says lee leffingwell raised property taxes 20 percent in three years,says lee leffingwell raised property taxes 20 percent three years,<generator object tweet_to_words at 0x000000416CE534A0>,say leffingwell raise propey taxis percent year,"city-budget,city-government,taxes",brigid-shea,a campaign mailer.,"Adjusted for inflation, that figure drops somewhat, but is still about 20 percent. So, taxes went up 20 percent, or more, with Leffingwell as mayor. However, no Austin mayor can raise taxes solo commando. Leffingwell had one of the seven votes that were cast each year in setting the citys rates.","Principal, Carbon Shrinks LLC",democrat,0.0,0.0,1.0,1.0,0.0,0,0,0,10,0
677,7701.json,mostly-true,Says businesses pay roughly 60 percent of taxes in Texas.,says businesses pay roughly 60 percent of taxes in texas,says businesses pay roughly 60 percent taxes texas,<generator object tweet_to_words at 0x000000416CE53E40>,say business pay roughly percent taxis texas,"state-budget,taxes",bill-hammond,"a press conference with Gov. Rick Perry, April 15, 2013","Hammond said businesses pay roughly 60 percent of the states tax bill. By our calculations using state projections that do not take into account all taxes, businesses will pay 52 percent of taxes in the state in 2015. In contrast, Hammonds source, a national group representing corporations, calculates that businesses paid 61 percent of all taxes in Texas in fiscal 2011. So, estimates vary because different taxes are considered.","CEO, president, Texas Association of Business & Chambers of Commerce",republican,1.0,0.0,0.0,1.0,0.0,0,0,0,8,0
707,2302.json,half-true,"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",we spend more money on health care per capita in the united states than any other country in the world of the 30 developed countries in the world we spend 2 12 times more than the average of the country that spends the second most per capita switzerland we spend 175 percent more,spend money health care per capita united states country world 30 developed countries world spend 2 12 times average country spends second per capita switzerland spend 175 percent,<generator object tweet_to_words at 0x000000416CE60BA0>,spend money health care united state country world develop country world spend time average country spend second capita switzerland spend percent,health-care,david-dewhurst,an editorial board meeting with the Austin American-Statesman,"PolitiFact. com in Washington covered similar ground in March when it rated True former Republican presidential candidate Mitt Romney's statement that ""the lifespan of the average American is less than that of people in nations that spend far less"" on health care. ""To put it bluntly, we spend more and die sooner,"" Romney said. Recap: As far as we can tell  and keeping in mind that Dewhurst didn't respond to our queries for backup  he was spot-on in saying the United States spends more money on health care per capita than the rest of the world, and he's right that we spend two-and-a-half times more than the average cost of all the OECD countries. He erred in his Switzerland comparison.",Lieutenant governor,republican,8.0,8.0,10.0,5.0,5.0,0,0,0,28,0
738,5400.json,pants-fire,"Says in the last 20 years, the French have not stood by the United States on foreign policy.",says in the last 20 years the french have not stood by the united states on foreign policy,says last 20 years french stood united states foreign policy,<generator object tweet_to_words at 0x000000416CE5B970>,say last year french stand united state foreign policy,"foreign-policy,history,military",rick-santorum,a campaign event,Santorums mockery of Frances willingness to advance U. S.  foreign policy goals is misplaced. On a wide range of issues over two decades -- from the Persian Gulf War to the Balkans to Afghanistan to counter-terrorism to Iran sanctions -- France has worked diplomatically with the U. S.  and has repeatedly put its troops in harms way.,0,republican,12.0,16.0,13.0,7.0,5.0,0,0,0,10,1
756,6841.json,mostly-true,Says the United States has the highest corporate tax rate in the world.,says the united states has the highest corporate tax rate in the world,says united states highest corporate tax rate world,<generator object tweet_to_words at 0x000000416CE6A190>,say united state high corporate tax rate world,"corporations,taxes",joseph-kyrillos,a debate on NJTV,"When Japan lowered its statutory rate, the United States moved into first place. Even when accounting for various tax breaks, the effective rate is still among the highest.",State Senator,republican,3.0,3.0,2.0,2.0,1.0,0,0,0,8,0
763,9123.json,barely-true,Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.,says president barack obamas acceptance of an islamic order and gold medal was unconstitutional,says president barack obamas acceptance islamic order gold medal unconstitutional,<generator object tweet_to_words at 0x000000416CE6A4A0>,say president barack obamas acceptance islamic order gold medal,"foreign-policy,legal-issues",facebook-posts,viral posts on the Internet,"The meme says Obama's acceptance of an ""Islamic order and gold medal"" was ""unconstitutional. ""Experts agree that Obamas acceptance of the medallion and collar -- and their transferral to the National Archives -- is entirely constitutional, since the administration followed the longstanding rules on gifts set up by congressional statute. Experts are more divided, however, on whether acceptance of the medallion amounts to acceptance of a foreign title. Meanwhile, the meme errs in calling it an ""Islamic order.",Social media posting,none,14.0,18.0,15.0,11.0,36.0,1,1,2,8,1
772,1509.json,mostly-true,One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,one of the most recent polls said 75 percent of the american people have said either dont do anything or start over (on health care reform),one recent polls said 75 percent american people said either dont anything start (on health care reform),<generator object tweet_to_words at 0x000000416CE6A890>,recent poll say percent american people say do sta health care reform,health-care,jon-kyl,an interview on Fox News,"For our rating, Kyl was careful in how he phrased his statement. He said, ""One of the most recent polls said 75 percent of the American people have said either don't do anything or start over. ""We found a recent poll that put those two categories at 69 percent. That's a little short, but pretty close.",U.S. Senator,republican,0.0,2.0,4.0,3.0,0.0,0,0,0,17,0
831,6482.json,barely-true,"Says Gov. Scott Walker raises the pay of inmates, but we dont raise the pay of staff in our correctional institutions.",says gov scott walker raises the pay of inmates but we dont raise the pay of staff in our correctional institutions,says gov scott walker raises pay inmates dont raise pay staff correctional institutions,<generator object tweet_to_words at 0x000000416CE562E0>,say gov scott walker raise pay inmate do raise pay staff correctional institution,"criminal-justice,income,state-finances,unions,workers",marty-beil,an interview,"So, the higher pay rate is limited to the relatively few working inmates at one prison, and only applies to their first two months on the job. Our rating    Beil said Walker has raised the pay of working inmates, ""but we don't raise the pay of staff in our correctional institutions. ""Neither group, however, has received a pay raise. The pay rate at one prison is now higher for new workers during their two-month probation period, but that was done not to give inmates raises but to save money for taxpayers.",0,none,1.0,0.0,0.0,0.0,0.0,0,0,0,13,1
839,5094.json,false,Says President Barack Obama has opened up no new trade relationships with other nations.,says president barack obama has opened up no new trade relationships with other nations,says president barack obama opened new trade relationships nations,<generator object tweet_to_words at 0x000000416CE56660>,say president barack obama open new trade relationship nation,"economy,foreign-policy,new-hampshire-2012,trade",mitt-romney,"a Republican presidential debate in Manchester, N.H.","It did take the better part of three years for Obama and Congress to enact the languishing South Korea, Colombia and Panama trade agreements. But ultimately he did reach an accord with lawmakers that enabled the agreements relatively easy passage in both the House and the Senate, including strong support from Republicans as well as the votes of several dozen Democratic lawmakers.",Former governor,republican,34.0,32.0,58.0,33.0,19.0,0,0,0,9,1
851,10240.json,false,"In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty.",in the 2014 elections the american people overwhelmingly said we dont want obamacare and we dont want amnesty,2014 elections american people overwhelmingly said dont want obamacare dont want amnesty,<generator object tweet_to_words at 0x000000416CE56BA0>,election american people overwhelmingly say do want obamacare do want amnesty,"health-care,immigration,polls",ted-cruz,an interview on Fox News,"Cruz said that in the 2014 elections, ""the American people overwhelmingly said we don't want Obamacare  and we don't want amnesty. ""Exit poll data shows that, at most, Americans were slightly -- not ""overwhelmingly"" -- against Obamacare, and even that edge is in doubt because the lead for the anti-Obamacare side is within the margin of error. Meanwhile, exit poll data also shows that voters, by a 3-to-2 margin, actually favored offering the possibility of legal status to illegal immigrants.",Senator,republican,36.0,33.0,15.0,19.0,8.0,0,1,1,11,1
855,2871.json,barely-true,Letting the Bush tax cuts expire would raise taxes on small businesses.,letting the bush tax cuts expire would raise taxes on small businesses,letting bush tax cuts expire would raise taxes small businesses,<generator object tweet_to_words at 0x000000416CE56D60>,let bush tax cut expire raise taxis small business,"economy,small-business,taxes",eric-cantor,a TV interview.,"That hardly sounds like a corner shop owner, whose image Cantor seems to invoke when he says Democrats are trying to raise taxes on small businesses. (Cantors wife, Diana F.  Cantor, is a member of the board of directors of Media General Inc. , parent company of the Richmond Times-Dispatch).",House Majority Leader,republican,9.0,6.0,4.0,4.0,4.0,0,1,1,9,1
869,11577.json,true,Says income tax rates under Eisenhower were as high as 90 percent.,says income tax rates under eisenhower were as high as 90 percent,says income tax rates eisenhower high 90 percent,<generator object tweet_to_words at 0x000000416A05B3C0>,say income tax rate eisenhower high percent,taxes,bernie-s,"a Democratic presidential debate in Des Moines, Iowa",Sanders said income tax rates under Eisenhower were as high as 90 percent. A look through the records shows that top earners in the eight years of Eisenhowers presidency paid a top income tax rate of 91 percent. It was even a bit higher before he took office.,U.S. Senator,independent,18.0,12.0,22.0,41.0,0.0,0,0,0,8,0
876,361.json,false,"Says the difference between her and Barack Obama is ""about 35 years of experience.""",says the difference between her and barack obama is about 35 years of experience,says difference barack obama 35 years experience,<generator object tweet_to_words at 0x000000416A05B6D0>,say difference barack obama year experience,candidates-biography,hillary-clinton,"a campaign event in Robstown, Texas.","Although we find     here    that she is largely correct when she says she has 35 years of experience in politics, she has failed to include Obama's experience in her calculation. By our count, Obama, who is 14 years younger than Clinton, has about one year running a voter-registration project, three years as a community organizer, four as a full-time attorney handling voting rights, employment and housing cases, and 12 years in the Illinois Senate and U. S.  Senate. That's a total of 20 years in public policy matters. So the difference between Clinton and Obama is really 15 years.",Presidential candidate,democrat,40.0,29.0,69.0,76.0,7.0,0,0,0,7,1
896,12294.json,true,I earned more votes in the state of Wisconsin than Donald Trump did in New York.,i earned more votes in the state of wisconsin than donald trump did in new york,earned votes state wisconsin donald trump new york,<generator object tweet_to_words at 0x000000416A05BF90>,earn vote state wisconsin donald trump new york,elections,ted-cruz,"remarks in Borden, Ind.","Cruz said, ""I earned more votes in the state of Wisconsin than Donald Trump did in New York. ""This is certainly a glass-half-full way of looking at the results, but factually, Cruz is on target.",Senator,republican,36.0,33.0,15.0,19.0,8.0,1,0,1,7,0
